word,part of speech,definition
fight,noun,a battle or combat.
fight,noun,a battle or combat.
file,noun,"a folder, cabinet, or other container in which papers, letters, etc., are arranged in convenient order for storage or reference."
fill,verb,to make full; put as much as can be held into
finalize,verb,to put into final form; complete all the details of.
find,verb,to come upon by chance; meet with
finger,noun,"any of the terminal members of the hand, especially one other than the thumb."
finger,noun,"any of the terminal members of the hand, especially one other than the thumb."
finger,noun,"any of the terminal members of the hand, especially one other than the thumb."
finish,verb,to bring (something) to an end or to completion; complete
fireman,noun,a person employed to extinguish or prevent fires; firefighter.
fire,noun,"a state, process, or instance of combustion in which fuel or other material is ignited and combined with oxygen, giving off light, heat, and flame."
fish,noun,"any of various cold-blooded, aquatic vertebrates, having gills, commonly fins, and typically an elongated body covered with scales."
fish,noun,"any of various cold-blooded, aquatic vertebrates, having gills, commonly fins, and typically an elongated body covered with scales."
fit,adjective,adapted or suited; appropriate
fix,verb,to repair; mend.
flag,noun,"a piece of cloth, varying in size, shape, color, and design, usually attached at one edge to a staff or cord, and  as the symbol of a nation, state, or organization, as a means of signaling, etc.; ensign; standard; banner; pennant."
flail,noun,"an instrument for threshing grain, consisting of a staff or handle to one end of which is attached a freely swinging stick or bar."
flame,noun,"burning gas or vapor, as from wood or coal, that is undergoing combustion; a portion of ignited gas or vapor."
flank,noun,the side of an animal or a person between the ribs and hip.
flap,verb,"to swing or sway back and forth loosely, especially with noise"
flare,verb,"to burn with an unsteady, swaying flame, as a torch or candle in the wind."
flash,noun,"a brief, sudden burst of bright light"
flatten,verb,to make flat.
flatter,verb,to try to please by complimentary remarks or attention.
flaunt,verb,"to parade or display oneself conspicuously, defiantly, or boldly."
flavor,noun,"taste, especially the distinctive taste of something as it is experienced in the mouth."
flee,verb,"to run away, as from danger or pursuers; take flight."
flesh,noun,"the soft substance of a human or other animal body, consisting of muscle and fat."
flex,verb,"to bend, as a part of the body"
flick,noun,"a sudden light blow or tap, as with a whip or the finger"
flight,noun,"the act, manner, or power of flying."
flinch,verb,"to draw back or shrink, as from what is dangerous, difficult, or unpleasant."
fling,verb,"to throw, cast, or hurl with force or violence"
flip,verb,"to toss or put in motion with a sudden impulse, as with a snap of a finger and thumb, especially so as to cause to turn over in the air"
flirt,verb,to court triflingly or act amorously without serious intentions; play at love; coquet.
flit,verb,"to move lightly and swiftly; fly, dart, or skim along"
float,verb,to rest or remain on the surface of a liquid; be buoyant
flock,noun,"a number of animals of one kind, especially sheep, goats, or birds, that keep or feed together or are herded together."
floor,noun,"that part of a room, hallway, or the like, that forms its lower enclosing surface and upon which one walks."
flop,verb,"to fall or plump down suddenly, especially with noise; drop or turn with a sudden bump or thud (sometimes followed by down)"
flounce,verb,"to go with impatient or impetuous, exaggerated movements"
flounder,verb,"to struggle with stumbling or plunging movements (usually followed by about, along, on, through, etc.)"
flourish,verb,to be in a vigorous state; thrive
flout,verb,"to treat with disdain, scorn, or contempt; scoff at; mock"
flowers,noun,the blossom of a plant.
flower,noun,the blossom of a plant.
flow,verb,to move along in a stream
flub,verb,to perform poorly; blunder; bungle
fluff,noun,"light, downy particles, as of cotton."
flush,noun,a blush; rosy glow
flute,noun,"a musical wind instrument consisting of a tube with a series of fingerholes or keys, in which the wind is directed against a sharp edge, either directly, as in the modern transverse flute, or through a flue, as in the recorder."
flutter,verb,"to wave, flap, or toss about"
fly,verb,to move through the air using wings.
fly,verb,to move through the air using wings.
foam,noun,"a collection of minute bubbles formed on the surface of a liquid by agitation, fermentation, etc."
focus,noun,"a central point, as of attraction, attention, or activity"
fog,noun,"a cloudlike mass or layer of minute water droplets or ice crystals near the surface of the earth, appreciably reducing visibility."
fold,verb,"to bend (cloth, paper, etc.) over upon itself."
fold,verb,"to bend (cloth, paper, etc.) over upon itself."
follow,verb,"to come after in sequence, order of time, etc."
fondle,verb,"to handle or touch lovingly, affectionately, or tenderly; caress"
fondly,adverb,in a fond manner; lovingly or affectionately
food,noun,"any nourishing substance that is eaten, drunk, or otherwise taken into the body to sustain life, provide energy, promote growth, etc."
foolishly,adjective,resulting from or showing a lack of sense; ill-considered; unwise
foot,noun,"(in vertebrates) the terminal part of the leg, below the ankle joint, on which the body stands and moves."
forbid,verb,"to command (a person) not to do something, have something, etc., or not to enter some place"
force,noun,physical power or strength possessed by a living being
force,noun,physical power or strength possessed by a living being
forecast,verb,to predict (a future condition or occurrence); calculate in advance
foretell,verb,to tell of beforehand; predict; prophesy.
forewarn,verb,to warn in advance.
forget,verb,to cease or fail to remember; be unable to recall
forge,verb,to form by heating and hammering; beat into shape.
forgive,verb,"to grant pardon for or remission of (an offense, debt, etc.); absolve."
fork,noun,"an instrument having two or more prongs or tines, for holding, lifting, etc., as an implement for handling food or any of various agricultural tools."
form,noun,"external appearance of a clearly defined area, as distinguished from color or material; configuration"
